Identifiant GPSO;Identifiant Aménageur;Nom de la station;Commune;Code INSEE;Localisation;Complément de Localisation;Type de borne;Type de prise;Emplacement;Nombre de places;Nombre de place PMR;Etat;Observation sur l'état;Type de recharge;Aménageur;Opérateur;Nombre de points de charge;Accès;Année de mise en service;geo_shape;Géolocalisation
IRVE73;;50 RUE GUYNEMER - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;50  RUE GUYNEMER;;Express;Combo, CHAdeMO et domestique;Voirie;4;;En service;;Rapide - 50kW DC;Metropolis;Metropolis;4;Gratuit;2022;"{""coordinates"": [2.2744017407628423, 48.828279086053534], ""type"": ""Point""}";48.828279086053534, 2.2744017407628423
IRVE69;;ROUTE DU PAVILLON L'ABBE - MEUDON;MEUDON;92048;ROUTE DU PAVILLON L'ABBE;;Schneider - Evlink;T3C;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.221295532517524, 48.80803245894218], ""type"": ""Point""}";48.80803245894218, 2.221295532517524
IRVE21;41;7 RUE PRUVOT - VANVES;VANVES;92075;7  RUE PRUVOT;;Ancienne borne Autolib;2EU et 2EF;Voirie;5;;En service;;Normale - 7kW;SIGEIF;Izivia;5;Gratuit;2020;"{""coordinates"": [2.2841696785244157, 48.82239059539416], ""type"": ""Point""}";48.82239059539416, 2.2841696785244157
IRVE88;296;22 AVENUE DU GENERAL LECLERC - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;15  AVENUE DU GENERAL LECLERC;;Lafon Pulse;Combo, CHAdeMO et domestique;Voirie;2;;En service;;Rapide - 50kW DC;SIGEIF;Izivia;4;Gratuit;2022;"{""coordinates"": [2.2416044717609, 48.83290443271305], ""type"": ""Point""}";48.83290443271305, 2.2416044717609
IRVE29;63;30 RUE MARCEL BONTEMPS - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;30  RUE MARCEL BONTEMPS;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.2409325783674685, 48.82600969630608], ""type"": ""Point""}";48.82600969630608, 2.2409325783674685
IRVE30;71;24 BOULEVARD DE LA REPUBLIQUE - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;24  BOULEVARD DE LA REPUBLIQUE;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.254247819409927, 48.83186713044351], ""type"": ""Point""}";48.83186713044351, 2.254247819409927
IRVE137;;AVENUE HALPHEN - VILLE-D'AVRAY;VILLE D'AVRAY;92077;AVENUE HALPHEN;;IES;Type 2 et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2024;"{""coordinates"": [2.1828631494544846, 48.825618508606816], ""type"": ""Point""}";48.825618508606816, 2.1828631494544846
IRVE74;;57 RUE DE L'EGALITE - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;57  RUE DE L'EGALITE;;Express;Combo, CHAdeMO et domestique;Voirie;4;;En service;;Rapide - 50kW DC;Metropolis;Metropolis;4;Gratuit;2022;"{""coordinates"": [2.2606385023818927, 48.81682665606474], ""type"": ""Point""}";48.81682665606474, 2.2606385023818927
IRVE87;;PARKING CENTRE VILLE - RUE LECOINTRE - SEVRES;SEVRES;92072;10  RUE LECOINTRE;Parking Centre-Ville;;;Parking en ouvrage;18;;En service;;;;;;;;"{""coordinates"": [2.2123965287701037, 48.82346513596047], ""type"": ""Point""}";48.82346513596047, 2.2123965287701037
IRVE75;;PARKING NIWA - RUE RENE COCHE - VANVES;VANVES;92075;16  RUE RENE COCHE;Parking Niwa;;;Parking en ouvrage;6;;En service;;;;;;;;"{""coordinates"": [2.2896962380184935, 48.81853358246634], ""type"": ""Point""}";48.81853358246634, 2.2896962380184935
